"1","2","3","4","5","6","7","kingdom","phylum","class","order","family","genus","species"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus rubricollis","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","Carya","Carya ovata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus rubricollis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus persica"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus tachygraphus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanea","Castanea dentata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus tachygraphus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","Carya","Carya illinoensis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus tachygraphus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus persica"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ambrosiodmus","Ambrosiodmus tachygraphus","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborus","Xyleborus atratus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Alnus hirsuta"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborus","Xyleborus atratus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Alnus japonica"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborus","Xyleborus atratus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","Ulmus","Ulmus japonica"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborus","Xyleborus atratus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula schmidtii"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborus","Xyleborus atratus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus taeda"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborus","Xyleborus obesus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Fagus","Fagus grandifolia"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborus","Xyleborus obesus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Populus grandidentata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborus","Xyleborus obesus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Fagus","Fagus grandifolia"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborus","Xyleborus obesus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer rubrum"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborus","Xyleborus obesus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer saccharum"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborus","Xyleborus obesus","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae","Liriodendron","Liriodendron tulipifera"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Cnestus","mutillatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Ormosia","Ormosia hosiei"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Cnestus","mutillatus","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Cinnamomum","Cinnamomum camphora"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Cnestus","mutillatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Cercis","Cercis canadensis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Cnestus","mutillatus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Fagus","Fagus crenata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Cnestus","mutillatus","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Lindera","Lindera erythrocarpa"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Cnestus","mutillatus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Osmanthus","Osmanthus fragrans"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Cnestus","mutillatus","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Cryptomeria","Cryptomeria japonica"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Cnestus","mutillatus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Carpinus","Carpinus laxiflora"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Cnestus","mutillatus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Swietenia","Swietenia macrophylla"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Cnestus","mutillatus","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Lindera","Lindera praecox"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Cnestus","mutillatus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Toxicodendron","Toxicodendron succedaneum"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Cnestus","mutillatus","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Machilus","Machilus thunbergii"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Coptoborus","Coptoborus pseudotenuis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","Artocarpus","Artocarpus altilis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Coptoborus","Coptoborus pseudotenuis","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Heliocarpus","Heliocarpus appendiculatus"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Coptoborus","Coptoborus pseudotenuis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Hevea","Hevea brasiliensis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Coptoborus","Coptoborus pseudotenuis","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Theobroma","Theobroma cacao"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Coptoborus","Coptoborus pseudotenuis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Dialium","Dialium guianense"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Coptoborus","Coptoborus pseudotenuis","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Cedrela","Cedrela odorata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Coptoborus","Coptoborus pseudotenuis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vachellia","Vachellia pennatula"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Coptoborus","Coptoborus pseudotenuis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Delonix","Delonix regia"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Coptoborus","Coptoborus pseudotenuis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Gliricidia","Gliricidia sepium"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Coptoborus","Coptoborus pseudotenuis","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Burseraceae","Bursera","Bursera simaruba"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Coptoborus","Coptoborus pseudotenuis","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","Citrus","Citrus sinensis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Persea","Persea americana"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Gmelina","Gmelina arborea"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Pterocymbium","Pterocymbium beccarii"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Hevea","Hevea brasiliensis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Theobroma","Theobroma cacao"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Tephrosia","Tephrosia candida"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","Terminalia","Terminalia catappa"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Bombax","Bombax ceiba"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Ricinus","Ricinus communis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","Casuarina","Casuarina equisetifolia"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","Milicia","Milicia excelsa"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Falcataria","Falcataria moluccana"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Myristicaceae","Myristica","Myristica fragrans"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Mangifera","Mangifera indica"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum infortunatum"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Ochroma","Ochroma pyramidale"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Erythrina","Erythrina variegata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Falcataria","Falcataria moluccana"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Cedrela","Cedrela odorata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Albizia","Albizia odoratissima"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Erythrina","Erythrina variegata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Burseraceae","Protium","Protium panamense"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Ixora","Ixora parviflora"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Robinia","Robinia pseudoacacia"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Callerya","Callerya atropurpurea"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Delonix","Delonix regia"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae","Grevillea","Grevillea robusta"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Dipterocarpaceae","Shorea","Shorea robusta"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","Polyscias","Polyscias sandwicensis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Senna","Senna siamea"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Ericales","Theaceae","Camellia","Camellia sinensis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Crotalaria","Crotalaria impressa"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Tephrosia","Tephrosia vogelii"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Lannea","Lannea coromandelica"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea fornicatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Xylia","Xylia xylocarpa"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","Ailanthus","Ailanthus altissima"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","Phellodendron","Phellodendron amurense"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Tilia","Tilia amurensis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","Aphananthe","Aphananthe aspera"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","Ficus","Ficus carica"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanea","Castanea crenata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Populus deltoides"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus densiflora"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Abies firma"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Populus davidiana"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus mongolica"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Dalbergia","Dalbergia hupeana"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Ericales","Pentaphylacaceae","Cleyera","Cleyera japonica"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Cryptomeria","Cryptomeria japonica"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Mallotus","Mallotus japonicus"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Cunninghamia","Cunninghamia lanceolata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus thunbergii"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Fagus","Fagus japonica"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae","Magnolia","Magnolia obovata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Chamaecyparis","Chamaecyparis obtusa"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus parvifolia"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","Ulmus","Ulmus pumila"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","Zelkova","Zelkova serrata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus serrulata"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Tsuga","Tsuga sieboldii"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","Celtis","Celtis sinensis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus sylvestris"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus taiwanensis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus thunbergii"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Carpinus","Carpinus tschonoskii"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Euwallacea","Euwallacea validus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus velutina"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Sampsonius","Sampsonius dampfi","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","Miconia","Miconia argentea"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Sampsonius","Sampsonius dampfi","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Theobroma","Theobroma cacao"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Sampsonius","Sampsonius dampfi","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Senegalia","Senegalia polyphylla"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Sampsonius","Sampsonius dampfi","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Vochysiaceae","Qualea","Qualea wittrockii"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborinus","Xyleborinus saxeseni","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus alba"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborinus","Xyleborinus saxeseni","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Tilia","Tilia americana"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborinus","Xyleborinus saxeseni","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Populus angustifolia"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborinus","Xyleborinus saxeseni","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Sorbus","Sorbus aria"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborinus","Xyleborinus saxeseni","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Malus","Malus cerea"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborinus","Xyleborinus saxeseni","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Pyrus","Pyrus communis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborinus","Xyleborinus saxeseni","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","Casuarina","Casuarina cunninghamiana"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborinus","Xyleborinus saxeseni","Plantae","Tracheophyta","Magnoliopsida","Ericales","Actinidiaceae","Actinidia","Actinidia chinensis"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborinus","Xyleborinus saxeseni","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Populus deltoides"
"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborinus","Xyleborinus saxeseni","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Notholithocarpus","Notholithocarpus densiflorus"
